"Year","Company","Model","FloorPlan","Length","Engine","Stock Number","Dealer","Location","MSRP","DISCOUNT","Date"
"2024","Bennington","20","SVL","20 ft","N/A","B271717","Spicers Boat","Houghton Lake MI","44508","30988","2024-11-04"
"2024","Sylvan","MIRAGE","8520","20 ft 1 in","N/A","B000835648","Spicers Boat","Houghton Lake MI","41741","32988","2024-11-04"
"2023","Bayliner","N/A","VR4","18 ft 1 in","N/A","2577985","Spicers Boat","Houghton Lake MI","40988","38988","2024-11-04"
"2023","Bennington","24","RTFBA","24 ft","N/A","250182","Spicers Boat","Houghton Lake MI","191389","122988","2024-11-04"
"2023","Harris","Solstice","230","N/A","N/A","2630578","Spicers Boat","Houghton Lake MI","132020","84288","2024-11-04"
"2023","Lund","1775","Crossover","N/A","N/A","2599309","Spicers Boat","Houghton Lake MI","66546","45988","2024-11-04"
"2023","Lund","1775","Impact","N/A","N/A","2599400","Spicers Boat","Houghton Lake MI","61055","41988","2024-11-04"
"2022","Four Winns","H2","OB","22 ft","N/A","BF00185397","Spicers Boat","Houghton Lake MI","102785","68888","2024-11-04"
"2022","Sylvan","L-3","LZ","23 ft 10 in","N/A","B000492018","Spicers Boat","Houghton Lake MI","47719","38988","2024-11-04"
"2024","Bayliner","N/A","DX2050","20 ft","N/A","2685351","Spicers Boat","Houghton Lake MI","52288","42988","2024-11-04"
"2024","Bayliner","Element","E16","16 ft","N/A","2696295","Spicers Boat","Houghton Lake MI","24995","19999","2024-11-04"
"2024","Bayliner","N/A","M19","19 ft","N/A","2673845","Spicers Boat","Houghton Lake MI","36190","29999","2024-11-04"
"2024","Bennington","25","QXSBWA","25 ft","N/A","B261184","Spicers Boat","Houghton Lake MI","265605","189988","2024-11-04"
"2024","Four Winns","HD3","OB","22 ft","N/A","BF00186612","Spicers Boat","Houghton Lake MI","109689","92888","2024-11-04"
"2024","Lund","1600","Fury","16 ft","N/A","2675412","Spicers Boat","Houghton Lake MI","23450","15988","2024-11-04"
"2024","Lund","1650","Angler","16 ft 1 in","N/A","2690086","Spicers Boat","Houghton Lake MI","32226","25988","2024-11-04"
"2024","Lund","1650","Rebel","16 ft 1 in","N/A","2687656","Spicers Boat","Houghton Lake MI","36697","27488","2024-11-04"
"2024","Lund","1675","Adventure","16 ft 1 in","N/A","2687217","Spicers Boat","Houghton Lake MI","46278","34488","2024-11-04"
"2024","Lund","1775","Adventure","17 ft 1 in","N/A","2675445","Spicers Boat","Houghton Lake MI","54875","41488","2024-11-04"
"2024","Lund","1775","IMPACT","17 ft 1 in","N/A","2690335","Spicers Boat","Houghton Lake MI","64894","47988","2024-11-04"
"2025","Bennington","N/A","20SVL","20 ft","N/A","B287493","Spicers Boat","Houghton Lake MI","36593","N/A","2024-11-04"
"2025","Bennington","N/A","20SVL","20 ft","N/A","B287497","Spicers Boat","Houghton Lake MI","36593","N/A","2024-11-04"
"2025","Bennington","N/A","24MFBSE","24 ft","N/A","294479","Spicers Boat","Houghton Lake MI","N/A","N/A","2024-11-04"
"2025","Bennington","N/A","24MSBSE","24 ft","N/A","293312","Spicers Boat","Houghton Lake MI","N/A","N/A","2024-11-04"
"2025","Sea-Doo","N/A","T2RJ","N/A","N/A","1031226300-000010T","Spicers Boat","Houghton Lake MI","N/A","N/A","2024-11-04"
"2025","Sylvan","MIRAGE","8520","20 ft 1 in","N/A","B000851424","Spicers Boat","Houghton Lake MI","40523","N/A","2024-11-04"
"2025","Sylvan","MIRAGE","8520","20 ft 1 in","N/A","B000852881","Spicers Boat","Houghton Lake MI","40523","N/A","2024-11-04"
"2025","Sylvan","MIRAGE","8520","20 ft 1 in","N/A","B000852876","Spicers Boat","Houghton Lake MI","40523","N/A","2024-11-04"
"2025","Sylvan","MIRAGE","8520","20 ft 1 in","N/A","B000852883","Spicers Boat","Houghton Lake MI","40523","N/A","2024-11-04"
"2025","Sylvan","MIRAGE","8520","20 ft 1 in","N/A","B000852879","Spicers Boat","Houghton Lake MI","40523","N/A","2024-11-04"
"2025","Sylvan","MIRAGE","X1CLZ","21 ft 1 in","N/A","B000849352","Spicers Boat","Houghton Lake MI","65471","N/A","2024-11-04"
"2025","Sylvan","MIRAGE","X3","23 ft 1 in","N/A","B000851429","Spicers Boat","Houghton Lake MI","71883","N/A","2024-11-04"
"2025","Sylvan","MIRAGE","X3","23 ft 1 in","N/A","B000851428","Spicers Boat","Houghton Lake MI","71883","N/A","2024-11-04"
"2025","Sylvan","MIRAGE","X3","23 ft 1 in","N/A","B000851427","Spicers Boat","Houghton Lake MI","71883","N/A","2024-11-04"
"2025","Sylvan","MIRAGE","X3","23 ft 1 in","N/A","B000851426","Spicers Boat","Houghton Lake MI","71883","N/A","2024-11-04"
"2025","Sylvan","MIRAGE","X3","23 ft 1 in","N/A","B000851416","Spicers Boat","Houghton Lake MI","79115","N/A","2024-11-04"
"2025","Sylvan","MIRAGE","X3","23 ft 1 in","N/A","B000851414","Spicers Boat","Houghton Lake MI","79115","N/A","2024-11-04"
"2025","Sylvan","MIRAGE","X3","23 ft 1 in","N/A","B000851417","Spicers Boat","Houghton Lake MI","79115","N/A","2024-11-04"
"2025","Sylvan","MIRAGE","X3","23 ft 1 in","N/A","B000851415","Spicers Boat","Houghton Lake MI","79115","N/A","2024-11-04"
"2025","Bennington","N/A","168SLSE","19 ft","N/A","295121","Spicers Boat","Houghton Lake MI","N/A","N/A","2024-11-04"
"2025","Bennington","N/A","188SLSE","19 ft","N/A","295122","Spicers Boat","Houghton Lake MI","N/A","N/A","2024-11-04"
"2025","Bennington","N/A","20SVL","20 ft","N/A","B287492","Spicers Boat","Houghton Lake MI","36593","N/A","2024-11-04"
"2025","Bennington","N/A","20SVL","20 ft","N/A","B287479","Spicers Boat","Houghton Lake MI","36593","N/A","2024-11-04"
"2025","Bennington","N/A","20SVL","20 ft","N/A","B287496","Spicers Boat","Houghton Lake MI","36593","N/A","2024-11-04"
"2025","Bennington","N/A","20SVL","20 ft","N/A","B287494","Spicers Boat","Houghton Lake MI","36593","N/A","2024-11-04"
"2025","Sylvan","L-3","DLZ","23 ft 1 in","N/A","B000849355","Spicers Boat","Houghton Lake MI","91958","N/A","2024-11-04"
"2025","Sylvan","L-3","DLZ","23 ft 1 in","N/A","B000849359","Spicers Boat","Houghton Lake MI","91712","N/A","2024-11-04"
"2025","Sylvan","L-3","DLZ","23 ft 1 in","N/A","B000849351","Spicers Boat","Houghton Lake MI","65370","N/A","2024-11-04"
"2025","Sylvan","L-3","DLZ","23 ft 1 in","N/A","B000849356","Spicers Boat","Houghton Lake MI","91958","N/A","2024-11-04"
"2025","Sylvan","L-3","DLZ","23 ft 1 in","N/A","B000849350","Spicers Boat","Houghton Lake MI","65370","N/A","2024-11-04"
"2025","Sylvan","L-3","DLZ","23 ft 1 in","N/A","B000849358","Spicers Boat","Houghton Lake MI","91172","N/A","2024-11-04"
"2025","Sylvan","L-3","DLZ","23 ft 1 in","N/A","B000849360","Spicers Boat","Houghton Lake MI","91172","N/A","2024-11-04"
"2025","Sylvan","L-3","PARTY","24 ft 1 in","N/A","B000849348","Spicers Boat","Houghton Lake MI","56638","N/A","2024-11-04"
"2025","Sylvan","L-3","Party","24 ft 1 in","N/A","B000849346","Spicers Boat","Houghton Lake MI","56638","N/A","2024-11-04"
"2025","Sylvan","L-3","Party","24 ft 1 in","N/A","B000849345","Spicers Boat","Houghton Lake MI","56638","N/A","2024-11-04"
"2025","Sylvan","L-3","PARTY","24 ft 1 in","N/A","B000849353","Spicers Boat","Houghton Lake MI","56638","N/A","2024-11-04"
"2025","Sylvan","L-3","PARTY","24 ft 1 in","N/A","B000849349","Spicers Boat","Houghton Lake MI","56638","N/A","2024-11-04"
"2025","Sylvan","L-3","PARTY","24 ft 1 in","N/A","B000849354","Spicers Boat","Houghton Lake MI","56638","N/A","2024-11-04"
"2025","Sylvan","MIRAGE","8520","20 ft 1 in","N/A","B000852882","Spicers Boat","Houghton Lake MI","40523","N/A","2024-11-04"
"2025","Sylvan","MIRAGE","8520","20 ft 1 in","N/A","B000852877","Spicers Boat","Houghton Lake MI","40523","N/A","2024-11-04"
"2025","Sylvan","MIRAGE","8520","20 ft 1 in","N/A","B000852880","Spicers Boat","Houghton Lake MI","40523","N/A","2024-11-04"
"2025","Sylvan","MIRAGE","8520","20 ft 1 in","N/A","B000852878","Spicers Boat","Houghton Lake MI","40523","N/A","2024-11-04"
"2025","Sylvan","MIRAGE","8520","20 ft 1 in","N/A","B000851425","Spicers Boat","Houghton Lake MI","40523","N/A","2024-11-04"
"2025","Sylvan","MIRAGE","8520","20 ft 1 in","N/A","B000851422","Spicers Boat","Houghton Lake MI","40523","N/A","2024-11-04"
"2025","Sylvan","MIRAGE","8520","20 ft 1 in","N/A","B000851423","Spicers Boat","Houghton Lake MI","40523","N/A","2024-11-04"
"2025","Sea-Doo","Switch","Sport","13 ft","N/A","1031226289-000010","Spicers Boat","Houghton Lake MI","29099","N/A","2024-11-04"
"2025","Sylvan","G-3","CLZ","25 ft 1 in","N/A","B000849361","Spicers Boat","Houghton Lake MI","121357","N/A","2024-11-04"
"2025","Sylvan","G-3","CLZ","25 ft 1 in","N/A","B000849362","Spicers Boat","Houghton Lake MI","121357","N/A","2024-11-04"
"2025","Sylvan","L-1","LZ","21 ft 1 in","N/A","B000851419","Spicers Boat","Houghton Lake MI","51139","N/A","2024-11-04"
"2025","Sylvan","L-1","LZ","21 ft 1 in","N/A","B000851421","Spicers Boat","Houghton Lake MI","51139","N/A","2024-11-04"
"2025","Sylvan","L-1","LZ","21 ft 1 in","N/A","B000851418","Spicers Boat","Houghton Lake MI","51139","N/A","2024-11-04"
"2025","Sylvan","L-1","LZ","21 ft 1 in","N/A","B000851420","Spicers Boat","Houghton Lake MI","51139","N/A","2024-11-04"
"2025","Sylvan","L-1","PARTY","21 ft 1 in","N/A","B000852885","Spicers Boat","Houghton Lake MI","50109","N/A","2024-11-04"
"2025","Sylvan","L-1","PARTY","21 ft 1 in","N/A","B000852884","Spicers Boat","Houghton Lake MI","50109","N/A","2024-11-04"
"2025","Sylvan","L-1","Party","20 ft","N/A","B000851433","Spicers Boat","Houghton Lake MI","50109","N/A","2024-11-04"
"2025","Sylvan","L-1","Party","20 ft","N/A","B000851430","Spicers Boat","Houghton Lake MI","50109","N/A","2024-11-04"
"2025","Sylvan","L-1","Party","20 ft","N/A","B000851431","Spicers Boat","Houghton Lake MI","50109","N/A","2024-11-04"
"2025","Sylvan","L-1","Party","20 ft","N/A","B000851432","Spicers Boat","Houghton Lake MI","50109","N/A","2024-11-04"
"2025","Sylvan","L-1","PARTY","21 ft 1 in","N/A","B000852886","Spicers Boat","Houghton Lake MI","50109","N/A","2024-11-04"
"2025","Sylvan","L-1","PARTY","21 ft 1 in","N/A","B000852887","Spicers Boat","Houghton Lake MI","50109","N/A","2024-11-04"
"2025","Sylvan","L-3","DLZ","24 ft 1 in","N/A","B000852889","Spicers Boat","Houghton Lake MI","59517","N/A","2024-11-04"
"2025","Sylvan","L-3","DLZ","24 ft 1 in","N/A","B000852888","Spicers Boat","Houghton Lake MI","59517","N/A","2024-11-04"
"2025","Sylvan","L-3","DLZ","24 ft 1 in","N/A","B000851437","Spicers Boat","Houghton Lake MI","91172","N/A","2024-11-04"
"2025","Sylvan","L-3","DLZ","24 ft 1 in","N/A","B000851436","Spicers Boat","Houghton Lake MI","91172","N/A","2024-11-04"
"2025","Sylvan","L-3","DLZ","23 ft 1 in","N/A","B000849357","Spicers Boat","Houghton Lake MI","91958","N/A","2024-11-04"
"2025","Lund","1650","Rebel","16 ft","N/A","2747820","Spicers Boat","Houghton Lake MI","N/A","N/A","2024-11-04"
"2025","Lund","1650","Rebel","16 ft 1 in","N/A","2749393","Spicers Boat","Houghton Lake MI","N/A","N/A","2024-11-04"
"2025","Lund","1775","Adventure","17 ft 1 in","N/A","2747808","Spicers Boat","Houghton Lake MI","55790","N/A","2024-11-04"
"2025","Lund","1775","Adventure","17 ft 1 in","N/A","2747809","Spicers Boat","Houghton Lake MI","55790","N/A","2024-11-04"
"2025","Lund","1775","Impact","17 ft","N/A","2734476","Spicers Boat","Houghton Lake MI","65436","N/A","2024-11-04"
