"Year","Company","Model","FloorPlan","Length","Engine","Stock Number","Dealer","Location","MSRP","DISCOUNT","Date"
"2025","Axis Wake Research","N/A","A245","24 ft 6 in","N/A","N/A","West Cost","Reno NV","N/A","N/A","2024-11-02"
"2025","Axis Wake Research","N/A","T235","23 ft 6 in","N/A","N/A","West Cost","Reno NV","N/A","N/A","2024-11-02"
"2025","Axis Wake Research","N/A","T250","25 ft","N/A","N/A","West Cost","Reno NV","N/A","N/A","2024-11-02"
"2025","Chris Craft","Launch","28","28 ft","N/A","N/A","West Cost","Reno NV","N/A","N/A","2024-11-02"
"2025","Chris Craft","Launch","28","28 ft","N/A","N/A","West Cost","Reno NV","N/A","N/A","2024-11-02"
"2025","Chris Craft","Launch","31","31 ft","N/A","N/A","West Cost","Reno NV","N/A","N/A","2024-11-02"
"2025","Malibu Boats","25","LSV","25 ft","N/A","N/A","West Cost","Reno NV","N/A","N/A","2024-11-02"
"2025","Malibu Boats","25","LSV","25 ft","N/A","N/A","West Cost","Reno NV","N/A","N/A","2024-11-02"
"2025","Malibu Boats","N/A","M230","23 ft","N/A","N/A","West Cost","Reno NV","N/A","N/A","2024-11-02"
"2024","Axis Wake Research","N/A","A225","22 ft","N/A","N/A","West Cost","Reno NV","124995","124995","2024-11-02"
"2024","Bennington","22","SS","22 ft","N/A","N/A","West Cost","Reno NV","59995","59995","2024-11-02"
"2024","Bennington","22","SS","22 ft","N/A","N/A","West Cost","Reno NV","52995","52995","2024-11-02"
"2024","Bennington","23","LFB","23 ft","N/A","N/A","West Cost","Reno NV","89995","89995","2024-11-02"
"2024","Chris Craft","Launch","27","27 ft","N/A","N/A","West Cost","Reno NV","N/A","N/A","2024-11-02"
"2024","Chris Craft","Launch","28","28 ft","N/A","N/A","West Cost","Reno NV","N/A","N/A","2024-11-02"
"2024","Cobalt Boats","R4","Surf","24 ft","N/A","N/A","West Cost","Reno NV","N/A","N/A","2024-11-02"
"2024","Cobalt Boats","R6","Surf","26 ft","N/A","N/A","West Cost","Reno NV","N/A","N/A","2024-11-02"
"2024","Malibu Boats","21","LX-R","21 ft","N/A","N/A","West Cost","Reno NV","99995","99995","2024-11-02"
"2024","Malibu Boats","22","LSV","22 ft","N/A","N/A","West Cost","Reno NV","159999","159999","2024-11-02"
"2024","Malibu Boats","23","LSV","23 ft","N/A","N/A","West Cost","Reno NV","N/A","N/A","2024-11-02"
"2024","Malibu Boats","23","MXZ","23 ft","N/A","N/A","West Cost","Reno NV","N/A","N/A","2024-11-02"
"2024","Malibu Boats","23","MXZ","23 ft","N/A","N/A","West Cost","Reno NV","283382","239749","2024-11-02"
"2024","Malibu Boats","25","LSV","25 ft","N/A","N/A","West Cost","Reno NV","323004","259999","2024-11-02"
"2024","Malibu Boats","N/A","M220","22 ft","N/A","N/A","West Cost","Reno NV","N/A","N/A","2024-11-02"
"2024","Yamaha Boats","N/A","222XD","22 ft","N/A","N/A","West Cost","Reno NV","N/A","N/A","2024-11-02"
"2024","Yamaha Boats","N/A","252S","24 ft 6 in","N/A","N/A","West Cost","Reno NV","N/A","N/A","2024-11-02"
"2024","Yamaha Boats","N/A","255XD","24 ft 6 in","N/A","N/A","West Cost","Reno NV","N/A","N/A","2024-11-02"
"2024","Yamaha Boats","N/A","AR190","19 ft","N/A","N/A","West Cost","Reno NV","N/A","N/A","2024-11-02"
"2023","Axis Wake Research","N/A","A225","22 ft 6 in","N/A","N/A","West Cost","Reno NV","109995","109995","2024-11-02"
"2023","Axis Wake Research","N/A","A225","22 ft 6 in","N/A","R96","West Cost","Reno NV","109999","109999","2024-11-02"
"2023","Bennington","21","SSR","21 ft","N/A","N/A","West Cost","Reno NV","N/A","N/A","2024-11-02"
"2023","Chris Craft","27","Launch","27 ft","N/A","N/A","West Cost","Reno NV","267309","199999","2024-11-02"
"2023","Chris Craft","Launch","25","25 ft","N/A","N/A","West Cost","Reno NV","310000","234999","2024-11-02"
"2023","Yamaha Marine","255","FSH","25 ft","N/A","N/A","West Cost","Reno NV","87995","87995","2024-11-02"
"2022","Cobalt Boats","R8","Outboard","28 ft 6 in","N/A","N/A","West Cost","Reno NV","N/A","N/A","2024-11-02"
"2025","Axis Wake Research","N/A","A245","24 ft 6 in","N/A","N/A","West Cost","Reno NV","N/A","N/A","2024-11-02"
"2025","Axis Wake Research","N/A","T235","23 ft 6 in","N/A","N/A","West Cost","Reno NV","N/A","N/A","2024-11-02"
"2025","Axis Wake Research","N/A","T250","25 ft","N/A","N/A","West Cost","Reno NV","N/A","N/A","2024-11-02"
"2025","Chris Craft","Launch","28","28 ft","N/A","N/A","West Cost","Reno NV","N/A","N/A","2024-11-02"
"2025","Chris Craft","Launch","28","28 ft","N/A","N/A","West Cost","Reno NV","N/A","N/A","2024-11-02"
"2025","Chris Craft","Launch","31","31 ft","N/A","N/A","West Cost","Reno NV","N/A","N/A","2024-11-02"
"2025","Malibu Boats","25","LSV","25 ft","N/A","N/A","West Cost","Reno NV","N/A","N/A","2024-11-02"
"2025","Malibu Boats","25","LSV","25 ft","N/A","N/A","West Cost","Reno NV","N/A","N/A","2024-11-02"
"2025","Malibu Boats","N/A","M230","23 ft","N/A","N/A","West Cost","Reno NV","N/A","N/A","2024-11-02"
"2024","Axis Wake Research","N/A","A225","22 ft","N/A","N/A","West Cost","Reno NV","N/A","124995","2024-11-02"
"2024","Bennington","22","SS","22 ft","N/A","N/A","West Cost","Reno NV","N/A","59995","2024-11-02"
"2024","Bennington","22","SS","22 ft","N/A","N/A","West Cost","Reno NV","N/A","52995","2024-11-02"
"2024","Bennington","23","LFB","23 ft","N/A","N/A","West Cost","Reno NV","N/A","89995","2024-11-02"
"2024","Chris Craft","Launch","27","27 ft","N/A","N/A","West Cost","Reno NV","N/A","N/A","2024-11-02"
"2024","Chris Craft","Launch","28","28 ft","N/A","N/A","West Cost","Reno NV","N/A","N/A","2024-11-02"
"2024","Cobalt Boats","R4","Surf","24 ft","N/A","N/A","West Cost","Reno NV","N/A","N/A","2024-11-02"
"2024","Cobalt Boats","R6","Surf","26 ft","N/A","N/A","West Cost","Reno NV","N/A","N/A","2024-11-02"
"2024","Malibu Boats","21","LX-R","21 ft","N/A","N/A","West Cost","Reno NV","N/A","99995","2024-11-02"
"2024","Malibu Boats","22","LSV","22 ft","N/A","N/A","West Cost","Reno NV","N/A","159999","2024-11-02"
